16-Jun-17,0.25,,,0.1,0,24,ACIW,25,16-Jun-17,,,1.8,2.55,0,0
21-Jul-17,1,,1,1.25,0,2,ACIW,22.5,21-Jul-17,,,0.5,0.75,0,0
21-Jul-17,0.25,,0.05,0.3,0,38,ACIW,25,21-Jul-17,,,2,2.3,0,0
18-Aug-17,1.5,,1.4,1.6,0,1842,ACIW,22.5,18-Aug-17,1.95,,0.8,1.05,0,4
18-Aug-17,0.75,,0.35,0.5,0,834,ACIW,25,18-Aug-17,,,2.2,2.6,0,0
17-Nov-17,2.11,,1.85,2.15,0,1,ACIW,22.5,17-Nov-17,,,1.3,1.5,0,0
17-Nov-17,,,0.85,1.1,0,0,ACIW,25,17-Nov-17,,,2.65,2.95,0,0
16-Jun-17,2.3,,1.8,2.35,6,799,ACLS,20,16-Jun-17,0.17,0.04,0.05,0.2,1,29
16-Jun-17,0.5,-0.05,0.2,0.55,10,218,ACLS,22.5,16-Jun-17,0.98,,0.75,1.2,0,1
21-Jul-17,2.75,0.15,2.2,2.65,2,4,ACLS,20,21-Jul-17,0.35,0.05,0.3,0.6,40,39
21-Jul-17,1.07,0.02,0.75,1.05,3,12,ACLS,22.5,21-Jul-17,1.25,,1.3,1.7,40,0
15-Sep-17,3.1,-0.03,2.8,3.3,2,120,ACLS,20,15-Sep-17,1.1,,0.95,1.15,0,24
15-Sep-17,1.65,0.05,1.6,1.75,4,28,ACLS,22.5,15-Sep-17,,,2,2.4,0,0
15-Dec-17,3.4,,3.3,4.2,0,6,ACLS,20,15-Dec-17,,,1.5,2,0,0
15-Dec-17,2.65,,2.1,2.7,0,46,ACLS,22.5,15-Dec-17,,,2.55,3.1,0,0
16-Jun-17,2.82,,1.25,1.65,0,22,ACOR,13,16-Jun-17,0.3,,0.25,0.55,0,56
16-Jun-17,0.95,-0.2,0.7,1.05,1,20,ACOR,14,16-Jun-17,0.85,0.15,0.65,0.85,6,35
16-Jun-17,0.65,,0.3,0.6,0,90,ACOR,15,16-Jun-17,1.25,0.25,1.15,1.55,5,71
21-Jul-17,,,1.55,1.95,0,0,ACOR,13,21-Jul-17,0.85,0.32,0.35,1,30,80
21-Jul-17,,,0.8,1.55,0,0,ACOR,14,21-Jul-17,0.83,,0.8,1.4,0,10
21-Jul-17,1.22,,0.65,1.05,0,20,ACOR,15,21-Jul-17,1.2,,1.65,1.8,0,6
20-Oct-17,3,,2.5,2.85,0,10,ACOR,13,20-Oct-17,1.25,,1.4,1.75,0,10
20-Oct-17,,,2,2.3,0,0,ACOR,14,20-Oct-17,2.1,0.3,1.9,2.2,50,123
20-Oct-17,1.76,-0.04,1.55,1.9,10,5,ACOR,15,20-Oct-17,1.73,,2.4,2.9,0,63
19-Jan-18,,,3,3.5,0,0,ACOR,13,19-Jan-18,,,1.85,2.35,0,0
19-Jan-18,,,2.45,3.2,0,0,ACOR,14,19-Jan-18,,,2.3,2.85,0,0
19-Jan-18,,,2,2.7,0,0,ACOR,15,19-Jan-18,,,3,3.4,0,0
16-Jun-17,,,0.1,5,0,0,ACRS,22.5,16-Jun-17,,,0.05,5,0,0
16-Jun-17,2.5,,,2,0,15,ACRS,25,16-Jun-17,,,0.05,5,0,0
21-Jul-17,,,0.55,4.9,0,0,ACRS,22.5,21-Jul-17,,,0.05,4.9,0,0
21-Jul-17,,,0.15,4.7,0,0,ACRS,25,21-Jul-17,,,0.3,4.9,0,0
18-Aug-17,,,1.05,4.9,0,0,ACRS,22.5,18-Aug-17,,,0.15,4.7,0,0
18-Aug-17,3.5,,0.6,2.7,0,15,ACRS,25,18-Aug-17,,,0.7,4.9,0,0
17-Nov-17,,,2.95,6.5,0,0,ACRS,22.5,17-Nov-17,,,2,4.8,0,0
17-Nov-17,,,1.9,5.3,0,0,ACRS,25,17-Nov-17,,,3.2,6,0,0
19-Jan-18,,,3.6,6.4,0,0,ACRS,22.5,19-Jan-18,,,2.85,5,0,0
19-Jan-18,,,2.9,5.2,0,0,ACRS,25,19-Jan-18,,,3.8,6.2,0,0
18-Jan-19,,,5.4,10,0,0,ACRS,22.5,18-Jan-19,,,3.1,8,0,0
18-Jan-19,10.2,,4.6,9,0,1,ACRS,25,18-Jan-19,6.5,,4.5,9.5,0,50
16-Jun-17,0.31,,0.1,0.3,0,258,ACRX,2.5,16-Jun-17,0.15,,0.05,0.3,0,399
21-Jul-17,0.42,,0.15,0.4,0,10,ACRX,2.5,21-Jul-17,0.25,,,0.4,1,149
15-Sep-17,0.6,-0.1,0.6,0.75,40,309,ACRX,2.5,15-Sep-17,0.6,,0.6,0.75,0,793
15-Dec-17,1,,0.8,1,0,31,ACRX,2.5,15-Dec-17,0.9,,0.4,0.9,0,150
16-Jun-17,0.85,,0.3,1.15,0,1,ACSF,12.5,16-Jun-17,0.2,,,0.45,0,33
21-Jul-17,,,0.5,1.15,0,0,ACSF,12.5,21-Jul-17,,,,0.5,0,0
15-Sep-17,,,0.6,1.25,0,0,ACSF,12.5,15-Sep-17,0.5,,,0.9,0,13
15-Dec-17,,,0.75,1.35,0,0,ACSF,12.5,15-Dec-17,,,,0.85,0,0
